run_id,phase,seed,representation,family,train_n,test_n,status,n_iter,param_count,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,elapsed_s,time_iso
RAW_S_20to20_seed2026,confirm,2026,RAW,S,20,20,completed,188,46409,0.3875115015366899,0.3599815345588963,0.0275299669777936,0.0825901731908676,0.0205784585998422,0.0033132730648006,0.0939610394882371,0.482,25.0,2026-07-19T21:52:28+00:00
RAW_T_7to10-20_seed2026,confirm,2026,RAW,T,7,"10,20",completed,54,46409,0.5503146074894874,0.4316139483212159,0.1187006591682714,0.8184997459513824,0.1165555668308793,0.0281062481190689,0.5012133937726446,0.2953333333333333,8.6,2026-07-19T21:52:37+00:00
RAW_T_10to7-20_seed2026,confirm,2026,RAW,T,10,"7,20",completed,98,46409,0.6225541451773378,0.4865809990244663,0.1359731461528714,0.810908803052872,0.150812595065838,0.0433045200184832,0.6303136348495949,0.2543333333333333,14.0,2026-07-19T21:52:51+00:00
RAW_T_20to7-10_seed2026,confirm,2026,RAW,T,20,"7,10",completed,188,46409,0.7175491667516152,0.541724066083185,0.1758251006684301,0.7450799558856235,0.2214118429322383,0.0566265814427191,0.8964451575842101,0.309,25.6,2026-07-19T21:53:17+00:00
RAW_L_hold7_seed2026,confirm,2026,RAW,L,"10,20",7,completed,71,46409,0.767617827640035,0.5864600855982591,0.1811577420417759,1.0135537577789246,0.2453016973108892,0.0711942792984002,0.9742777554633903,0.2636666666666666,20.1,2026-07-19T21:53:37+00:00
RAW_L_hold10_seed2026,confirm,2026,RAW,L,"7,20",10,completed,41,46409,0.5879082933721942,0.4929447185511582,0.094963574821036,0.578104459196955,0.1026416658683252,0.039664041731409,0.3731674830354717,0.2523333333333333,12.5,2026-07-19T21:53:49+00:00
RAW_L_hold20_seed2026,confirm,2026,RAW,L,"7,10",20,completed,56,46409,0.4855589859930571,0.3599815345588963,0.1255774514341607,0.5338022938387719,0.1061808236552279,0.017753186251528,0.4942704514320577,0.3366666666666666,16.2,2026-07-19T21:54:06+00:00
F13_J_seed3407,confirm,3407,F13,J,"7,10,20","7,10,20",completed,31,46426,0.5387363404629099,0.4887114461420549,0.0500248943208549,0.1934704789654871,0.0513979669451096,0.0128054511674864,0.2088769080580908,0.3954444444444444,13.8,2026-07-19T21:54:20+00:00
F13_S_7to7_seed3407,confirm,3407,F13,S,7,7,completed,202,46426,0.6403301942510442,0.5864600855982591,0.053870108652785,0.2386872348604411,0.0660873256696626,0.0165249738830331,0.2676342587299422,0.4373333333333333,28.0,2026-07-19T21:54:48+00:00
F13_S_10to10_seed3407,confirm,3407,F13,S,10,10,completed,81,46426,0.5315015814611542,0.4929447185511582,0.038556862909996,0.1632636173932792,0.0394994355482273,0.0059328890946783,0.1884142253893682,0.4843333333333333,11.1,2026-07-19T21:54:59+00:00
F13_S_20to20_seed3407,confirm,3407,F13,S,20,20,completed,215,46426,0.3864457200598382,0.3599815345588963,0.0264641855009418,0.0847780528689111,0.0197535893291889,0.0010314649696873,0.0904863686384059,0.5333333333333333,28.9,2026-07-19T21:55:28+00:00
F13_T_7to10-20_seed3407,confirm,3407,F13,T,7,"10,20",completed,202,46426,0.5416109618531117,0.4316139483212159,0.1099970135318958,0.5995130516865119,0.1070518336140235,0.0143167228600905,0.5387937180833091,0.4005,28.5,2026-07-19T21:55:56+00:00
F13_T_10to7-20_seed3407,confirm,3407,F13,T,10,"7,20",completed,81,46426,0.5735326442294119,0.4865809990244663,0.0869516452049455,0.3771394415097998,0.0921786253851334,0.0294780539588307,0.3352150141760898,0.306,11.5,2026-07-19T21:56:08+00:00
F13_T_20to7-10_seed3407,confirm,3407,F13,T,20,"7,10",completed,215,46426,0.7331307418820848,0.541724066083185,0.1914066757988998,0.4543814996979136,0.244015720918877,0.0932361725210005,0.93691370078066,0.2165,29.3,2026-07-19T21:56:37+00:00
F13_L_hold7_seed3407,confirm,3407,F13,L,"10,20",7,completed,181,46426,0.6494847715281892,0.5864600855982591,0.06302468592993,0.2745904796444269,0.0778950364471065,0.0089899228681008,0.3254415372199177,0.5016666666666667,51.9,2026-07-19T21:57:29+00:00
F13_L_hold10_seed3407,confirm,3407,F13,L,"7,20",10,completed,176,46426,0.5408550408095997,0.4929447185511582,0.0479103222584414,0.2031119497293211,0.0495296796216731,0.0127424531408433,0.2007242108635067,0.4103333333333333,46.5,2026-07-19T21:58:16+00:00
F13_L_hold20_seed3407,confirm,3407,F13,L,"7,10",20,completed,97,46426,0.4484375313461802,0.3599815345588963,0.0884559967872839,0.1754341548199688,0.0715095142964785,0.0174928233020533,0.3131417954505142,0.3243333333333333,26.5,2026-07-19T21:58:42+00:00
F12_J_seed3407,confirm,3407,F12,J,"7,10,20","7,10,20",completed,75,46452,0.5329697623322387,0.4887114461420549,0.0442583161901837,0.1671561285580812,0.0452178899702244,0.0094256505049315,0.1829838371781635,0.446,32.4,2026-07-19T21:59:15+00:00
F12_S_7to7_seed3407,confirm,3407,F12,S,7,7,completed,39,46452,0.6523855769111793,0.5864600855982591,0.0659254913129201,0.2599377854045209,0.0816715089618148,0.0284315473879762,0.2956162800136919,0.3626666666666667,5.8,2026-07-19T21:59:21+00:00
F12_S_10to10_seed3407,confirm,3407,F12,S,10,10,completed,99,46452,0.5297217071997694,0.4929447185511582,0.0367769886486112,0.1580771780224848,0.0376105915311575,0.0060221450590293,0.176126394402514,0.49,14.1,2026-07-19T21:59:35+00:00
F12_S_20to20_seed3407,confirm,3407,F12,S,20,20,completed,103,46452,0.3865264714316008,0.3599815345588963,0.0265449368727044,0.0866376611394002,0.0198160078939862,0.0035503307253703,0.0940601563840424,0.471,14.7,2026-07-19T21:59:50+00:00
F12_T_7to10-20_seed3407,confirm,3407,F12,T,7,"10,20",completed,39,46452,0.511566524170926,0.4316139483212159,0.07995257584971,0.5438209404670513,0.0754097082668933,0.0305677763144807,0.2695324203228377,0.24,6.3,2026-07-19T21:59:56+00:00
F12_T_10to7-20_seed3407,confirm,3407,F12,T,10,"7,20",completed,99,46452,0.5412442939025383,0.4865809990244663,0.0546632948780719,0.2191775332032282,0.0561843170704096,0.0099915598132179,0.2155340206399469,0.4143333333333333,14.7,2026-07-19T22:00:11+00:00
F12_T_20to7-10_seed3407,confirm,3407,F12,T,20,"7,10",completed,103,46452,0.6280705638423398,0.541724066083185,0.0863464977591548,0.2627620629849003,0.1010076693915357,0.0175265816329876,0.4437146614658781,0.4366666666666666,15.2,2026-07-19T22:00:26+00:00
F12_L_hold7_seed3407,confirm,3407,F12,L,"10,20",7,completed,65,46452,0.6384374804006477,0.5864600855982591,0.0519773948023886,0.2334015282370746,0.06366698438041,0.0038799126632742,0.2758923648757728,0.5593333333333333,18.7,2026-07-19T22:00:45+00:00
F12_L_hold10_seed3407,confirm,3407,F12,L,"7,20",10,completed,117,46452,0.5419419887973536,0.4929447185511582,0.0489972702461953,0.1878629041257721,0.0507066236741502,0.0117185982126902,0.2059298871468539,0.4223333333333333,33.0,2026-07-19T22:01:18+00:00
F12_L_hold20_seed3407,confirm,3407,F12,L,"7,10",20,completed,127,46452,0.4175063558416952,0.3599815345588963,0.0575248212827989,0.2049743627108121,0.0447248519448344,0.0175572866831343,0.1702813609065052,0.2816666666666667,35.4,2026-07-19T22:01:54+00:00
RAW_J_seed3407,confirm,3407,RAW,J,"7,10,20","7,10,20",completed,37,46409,0.5374433213395804,0.4887114461420549,0.0487318751975254,0.1865510270968486,0.0500064460622607,0.0120796837170064,0.2032356836964832,0.3926666666666666,18.3,2026-07-19T22:02:12+00:00
RAW_S_7to7_seed3407,confirm,3407,RAW,S,7,7,completed,237,46409,0.6414276001255738,0.5864600855982591,0.0549675145273146,0.2401010284042505,0.0674939342029354,0.013858597572309,0.2820463570465155,0.4553333333333333,32.1,2026-07-19T22:02:44+00:00
RAW_S_10to10_seed3407,confirm,3407,RAW,S,10,10,completed,88,46409,0.5298947075383821,0.4929447185511582,0.0369499889872239,0.1670500308235969,0.0377939055297069,0.0017247750508946,0.1697953000370246,0.5376666666666666,12.5,2026-07-19T22:02:57+00:00
RAW_S_20to20_seed3407,confirm,3407,RAW,S,20,20,completed,143,46409,0.3874964111811197,0.3599815345588963,0.0275148766222234,0.0847674733946937,0.0205667634548695,0.0016547171548086,0.1034659873399004,0.5226666666666666,101.7,2026-07-19T22:04:39+00:00
RAW_T_7to10-20_seed3407,confirm,3407,RAW,T,7,"10,20",completed,237,46409,0.5587096350221005,0.4316139483212159,0.1270956867008845,1.0405404118647217,0.1258658558810995,0.0301800169654413,0.549459571829079,0.2876666666666667,205.5,2026-07-19T22:08:04+00:00
RAW_T_10to7-20_seed3407,confirm,3407,RAW,T,10,"7,20",completed,88,46409,0.6441473292293509,0.4865809990244663,0.1575663302048846,0.9991093274093514,0.1781647131416581,0.0309021005290182,0.8145173191809609,0.3431666666666667,251.1,2026-07-19T22:12:15+00:00
RAW_T_20to7-10_seed3407,confirm,3407,RAW,T,20,"7,10",completed,143,46409,0.6783475377468131,0.541724066083185,0.1366234716636281,0.6426022709024859,0.1666904181934649,0.0532575711955532,0.6378466446816274,0.2928333333333333,311.3,2026-07-19T22:17:27+00:00
RAW_L_hold7_seed3407,confirm,3407,RAW,L,"10,20",7,completed,77,46409,0.7560587757317655,0.5864600855982591,0.1695986901335063,1.734258297340381,0.2276894403610986,0.0739899082100904,0.8154553472265874,0.2716666666666666,217.0,2026-07-19T22:21:04+00:00
RAW_L_hold10_seed3407,confirm,3407,RAW,L,"7,20",10,completed,52,46409,0.5976451827289772,0.4929447185511582,0.1047004641778189,0.6370495059226772,0.1141852688916719,0.0327851068497673,0.4741735436932487,0.2926666666666667,201.8,2026-07-19T22:24:26+00:00
RAW_L_hold20_seed3407,confirm,3407,RAW,L,"7,10",20,completed,59,46409,0.484707576985595,0.3599815345588963,0.1247260424266987,0.628633664193542,0.1053547299638686,0.020837380374564,0.4581799237415875,0.298,210.0,2026-07-19T22:27:56+00:00
