beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,status,loss
1.5,1000.0,100.0,0.1,7,10,0.84,1.4619778066984688,1082.6198846763525,83.99112353757998,0.8833171309416243,True,success,0.0077248571066156
1.5,1000.0,100.0,0.1,7,10,0.86,1.456769222622632,1076.7514204023405,87.87473015272613,0.877633995043545,True,success,0.0068684249749355
1.5,1000.0,100.0,0.1,7,10,0.88,1.4519269550925076,1070.8566805352891,91.71243878985253,0.8714930673655676,True,success,0.006116471801371
1.5,1000.0,100.0,0.1,7,10,0.9,1.4474529179116729,1064.9175496923258,95.51492973766112,0.8648274668124376,True,success,0.0054616022626458
1.5,1000.0,100.0,0.1,7,10,0.92,1.443352493568159,1058.91398632708,99.29354684015286,0.857555882641768,True,success,0.004897552409879
1.5,1000.0,100.0,0.1,7,10,0.94,1.4396351661394082,1052.8233647932263,103.0606145205493,0.8495781972407995,True,success,0.0044191921924402
1.5,1000.0,100.0,0.1,7,10,0.96,1.4363163904443157,1046.6193831566889,106.8298569690025,0.8407688710870109,True,success,0.0040225036659231
1.5,1000.0,100.0,0.1,7,10,0.98,1.4334163641431534,1040.2713821513823,110.61697739672316,0.8309692128023682,True,success,0.0037048957911661
1.5,1000.0,100.0,0.1,7,10,1.0,1.430965075497713,1033.74190205256,114.44048239943147,0.8199727361412115,True,success,0.0034651860642912
1.5,1000.0,100.0,0.1,7,25,0.48,1.4213975210709433,1203.6310737000551,98.03864199919322,0.9192258516010354,True,success,0.0442153942986858
1.5,1000.0,100.0,0.1,7,25,0.5,1.4087280877472468,1197.2582737721373,103.44772952496228,0.9179440911037,True,success,0.0426251853954515
1.5,1000.0,100.0,0.1,7,25,0.52,1.3968385811090918,1191.1802150493784,108.55456772506956,0.9166290317564398,True,success,0.0413529567431051
1.5,1000.0,100.0,0.1,7,25,0.54,1.3856609929446804,1185.3657474133768,113.388598539303,0.91527877626576,True,success,0.0403501186780314
1.5,1000.0,100.0,0.1,7,25,0.56,1.3751305486642351,1179.7891297709853,117.97557601694474,0.913892182186783,True,success,0.0395771991289024
1.5,1000.0,100.0,0.1,7,25,0.58,1.3652040291675558,1174.4235186033989,122.3381500364479,0.9124654045150192,True,success,0.0389980917902238
1.5,1000.0,100.0,0.1,7,25,0.6,1.3558329301917016,1169.2481933017198,126.49634334480491,0.9109963386339824,True,success,0.0385844044874802
1.5,1000.0,100.0,0.1,7,25,0.62,1.3469769617832918,1164.243846104613,130.4679427657908,0.9094821369547944,True,success,0.0383114699529807
1.5,1000.0,100.0,0.1,7,25,0.64,1.3386008671813892,1159.3929710797026,134.2688236086037,0.907919593279856,True,success,0.0381581070898434
1.5,1000.0,100.0,0.1,7,25,0.66,1.330673371542518,1154.6797145567184,137.9132200621121,0.9063051965546814,True,success,0.0381061183973941
1.5,1000.0,100.0,0.1,7,25,0.68,1.3231658288990815,1150.08989927245,141.4139523216522,0.9046352888649548,True,success,0.0381400151189359
1.5,1000.0,100.0,0.1,7,25,0.7,1.3160545636882897,1145.609960003629,144.78261853132935,0.90290542695665,True,success,0.038245931614739
1.5,1000.0,100.0,0.1,7,25,0.72,1.309316204929618,1141.2281079562208,148.02975885976792,0.901111290801922,True,success,0.0384123738585518
1.5,1000.0,100.0,0.1,7,25,0.74,1.3029323371017492,1136.9326341540807,151.16499482494302,0.899247510059436,True,success,0.0386286979963355
1.5,1000.0,100.0,0.1,7,25,0.76,1.2968835472200055,1132.7135591205456,154.19715117005882,0.8973089582433827,True,success,0.0388863503649161
1.5,1000.0,100.0,0.1,7,25,0.78,1.291155838297612,1128.5604310296137,157.1343621370586,0.8952890622451521,True,success,0.0391769570420722
1.5,1000.0,100.0,0.1,7,25,0.8,1.2857351633323066,1124.4638798900714,159.98416367767643,0.893181019766584,True,success,0.0394935440592818
