beta,eta,gamma,gamma_over_eta,n,repeat_id,default_loss,base_l6_delta,base_l6_loss,loss_048,loss_050,new_grid_best_delta,new_grid_best_loss,extended_l6_loss,extended_l6_delta,loss_reduction,at_new_upper_boundary
1.5,1000.0,100.0,0.1,15,52,0.16541277065034132,0.5,0.14471387498603935,0.1447958558946873,0.14471387498603935,0.52,0.1448097417927804,0.14471387498603935,0.5,0.0,False
1.5,1000.0,100.0,0.1,15,53,0.17529458545874782,0.5,0.08813345264508253,0.09443982584450707,0.08813345264508253,0.98,0.0240662827525881,0.0240662827525881,0.98,0.06406716989249443,False
1.5,1000.0,100.0,0.1,15,58,0.2409021277870916,0.5,0.1892812012716689,0.18958058972953798,0.1892812012716689,0.62,0.188548870801947,0.188548870801947,0.62,0.0007323304697219035,False
1.5,1000.0,100.0,0.1,15,59,0.20519610148738376,0.5,0.18902050536502527,0.1923449070360288,0.18902050536502527,1.0,0.1299325766437235,0.1299325766437235,1.0,0.05908792872130175,True
1.5,1000.0,100.0,0.1,15,62,0.22790081155414232,0.5,0.08785134344707217,0.09349255901357902,0.08785134344707217,0.96,0.0314328144479147,0.0314328144479147,0.96,0.05641852899915747,False
1.5,1000.0,100.0,0.1,15,63,0.40829408541072576,0.5,0.25994501568122497,0.2647911857689983,0.25994501568122497,0.56,0.2548482998125865,0.2548482998125865,0.56,0.005096715868638468,False
1.5,1000.0,100.0,0.1,15,73,0.04794132588621294,0.5,0.01856062033767884,0.018735850762152197,0.01856062033767884,0.52,0.0184842935241417,0.0184842935241417,0.52,7.632681353713852e-05,False
1.5,1000.0,100.0,0.1,15,82,0.05053985838588645,0.5,0.005710651545675469,0.00628353395947398,0.005710651545675469,0.66,0.0038272730106541,0.0038272730106541,0.66,0.001883378535021369,False
1.5,1000.0,100.0,0.1,15,85,0.17138289044668725,0.5,0.07158140123418705,0.07179338767248228,0.07158140123418705,0.52,0.0715624820176797,0.0715624820176797,0.52,1.891921650734596e-05,False
1.5,1000.0,100.0,0.1,15,95,0.026609391419897176,0.5,0.007852498974226203,0.008265422369423368,0.007852498974226203,0.58,0.0072444563429713,0.0072444563429713,0.58,0.000608042631254903,False
1.5,1000.0,100.0,0.1,15,98,0.06409121001809251,0.5,0.05238215852867311,0.056273872439596334,0.05238215852867311,1.0,0.0072677585316232,0.0072677585316232,1.0,0.04511439999704991,True
1.5,1000.0,100.0,0.1,15,105,0.22138326020066795,0.5,0.12391290753965296,0.13324665321020815,0.12391290753965296,0.86,0.0531461130079625,0.0531461130079625,0.86,0.07076679453169046,False
1.5,1000.0,100.0,0.1,15,119,0.3903389986385126,0.5,0.18303112887703576,0.19233319696447607,0.18303112887703576,0.64,0.1509701322738756,0.1509701322738756,0.64,0.03206099660316017,False
1.5,1000.0,100.0,0.1,15,123,0.41140132343461383,0.5,0.3202378110777776,0.3272280684985875,0.3202378110777776,1.0,0.2405120865293572,0.2405120865293572,1.0,0.07972572454842039,True
1.5,1000.0,100.0,0.1,15,129,0.2241009058384129,0.5,0.011632497423139833,0.012451856258308473,0.011632497423139833,0.58,0.0102957360794623,0.0102957360794623,0.58,0.0013367613436775332,False
1.5,1000.0,100.0,0.1,15,133,0.05173139081948297,0.5,0.02912681278632013,0.03296171877876014,0.02912681278632013,0.82,0.008574217790167,0.008574217790167,0.82,0.02055259499615313,False
1.5,1000.0,100.0,0.1,15,140,0.1716812618529412,0.5,0.07786695749336178,0.07792080432535137,0.07786695749336178,0.52,0.078028322155642,0.07786695749336178,0.5,0.0,False
1.5,1000.0,100.0,0.1,15,152,0.013242997733431778,0.5,6.691581100343365e-05,0.0001034006171106029,6.691581100343365e-05,0.52,6.6440480193341e-05,6.6440480193341e-05,0.52,4.753308100926418e-07,False
1.5,1000.0,100.0,0.1,15,158,0.19549716139179124,0.5,0.06213346846969644,0.06367112179898311,0.06213346846969644,0.88,0.0522947793884909,0.0522947793884909,0.88,0.00983868908120554,False
1.5,1000.0,100.0,0.1,15,159,0.3889714450301798,0.5,0.11520723140723572,0.11957822222056613,0.11520723140723572,0.84,0.0842944873822419,0.0842944873822419,0.84,0.03091274402499382,False
1.5,1000.0,100.0,0.1,15,160,0.11120645853970323,0.5,0.10517981755217247,0.10933210885438926,0.10517981755217247,1.0,0.0429408129570686,0.0429408129570686,1.0,0.06223900459510387,True
1.5,1000.0,100.0,0.1,15,170,0.04713891859929099,0.5,0.004395107394596914,0.0049874943012050725,0.004395107394596914,0.66,0.0022905628207122,0.0022905628207122,0.66,0.002104544573884714,False
1.5,1000.0,100.0,0.1,15,174,0.45706153048881715,0.5,0.2281152221688432,0.23917391662503057,0.2281152221688432,0.62,0.184850187511361,0.184850187511361,0.62,0.04326503465748219,False
1.5,1000.0,100.0,0.1,15,181,0.46030696986525627,0.5,0.08573704376838663,0.092134835013163,0.08573704376838663,0.74,0.0542600176097207,0.0542600176097207,0.74,0.03147702615866593,False
1.5,1000.0,100.0,0.1,15,186,0.07346122427385826,0.5,0.0515002882934401,0.05260697675339691,0.0515002882934401,1.0,0.034069738350987,0.034069738350987,1.0,0.017430549942453098,True
1.5,1000.0,100.0,0.1,15,192,0.02798406823739703,0.5,0.003643376488665211,0.003841008683192917,0.003643376488665211,0.56,0.0033651357407684,0.0033651357407684,0.56,0.0002782407478968108,False
1.5,1000.0,100.0,0.1,15,201,0.07073630658559724,0.5,0.02677500769521788,0.027020027420080205,0.02677500769521788,0.58,0.0264206681420808,0.0264206681420808,0.58,0.00035433955313707993,False
1.5,1000.0,100.0,0.1,15,203,0.09247808053406523,0.5,0.047137435117030016,0.049244529900171655,0.047137435117030016,1.0,0.0251679679994578,0.0251679679994578,1.0,0.021969467117572215,True
