delta,mse,mse_beta,mse_eta,mse_gamma,est_beta,est_eta,est_gamma,failure
0.001,,,,,,,,no_intersection
0.003,,,,,,,,no_intersection
0.005,,,,,,,,no_intersection
0.007,,,,,,,,no_intersection
0.619,0.3226619397850613,0.1528623460089959,0.16247332991958574,0.007326263856479688,1.2180477098722815,596.9201941059491,1085.5935970530488,
0.621,0.32330074521641444,0.15327286686476302,0.1626662950810081,0.007361583270643356,1.2169984243572354,596.6809016659289,1085.7996694087067,
0.623,0.3239404152583945,0.1536838632009356,0.1628595644410204,0.007396987616438556,1.2159493302064321,596.4413742205224,1086.0057417643645,
0.625,0.3245809489468643,0.15409533115882848,0.1630531408941705,0.00743247689386529,1.214900436482535,596.2016086037854,1086.2118141200224,
0.627,0.3252221694649789,0.1545069703425541,0.16324714801950127,0.007468051102923556,1.213852506605652,595.9614523099297,1086.4178864756802,
0.629,0.32586443333346055,0.15491937955122898,0.16344134353861822,0.007503710243613355,1.2128040153780535,595.7212056777919,1086.623958831338,
0.631,0.3265075578712068,0.15533224854071478,0.16363585501455732,0.0075394543159346865,1.2117557522170814,595.4807111959217,1086.830031186996,
0.633,0.3271515419368763,0.1557455730680389,0.16383068554894978,0.0075752833198875925,1.210707726965381,595.2399654746657,1087.036103542654,
0.635,0.32779638434806413,0.15615934879881502,0.16402583829377715,0.007611197255471989,1.2096599496449265,594.9989650707332,1087.2421758983119,
0.637,0.32826147823424595,0.1564577216262061,0.16416663330770387,0.007637123300336009,1.2089052607273738,594.8251817946926,1087.390636228008,
0.639,0.3286223003212851,0.15668916301607966,0.16427588717055694,0.007657250134648542,1.2083203602060246,594.6903811028451,1087.5057148685075,
0.641,0.32898352880126486,0.15692097769638524,0.16438514764973156,0.007677403455148073,1.2077349491580858,594.5556170697002,1087.6207935090072,
0.643,0.32934488064069917,0.15715268728428,0.16449461009458458,0.0076975832618346035,1.2071502354562247,594.4206488311016,1087.7358721495068,
0.645,0.32970649879874886,0.15738453275681583,0.1646041764872249,0.007717789554708132,1.2065656101307032,594.2855973874912,1087.8509507900064,
0.647,0.33006838304163055,0.15761651329549126,0.1647138474123707,0.007738022333768619,1.2059810750479778,594.1504621015681,1087.9660294305058,
0.649,0.3304305331306179,0.15784862807116834,0.16482362346043336,0.007758281599016145,1.2053966320958152,594.0152423299203,1088.0811080710055,
0.651,0.3307929488221971,0.1580808762443218,0.16493350522742461,0.007778567350450669,1.204812283182589,593.87993742315,1088.196186711505,
0.653,0.3311556298685519,0.15831325696583948,0.16504349331464024,0.007798879588072194,1.2042280302351949,593.7445467262744,1088.3112653520047,
0.655,0.33151857601680346,0.15854576937572168,0.16515358832920107,0.007819218311880715,1.2036438752022518,593.6090695780711,1088.4263439925044,
0.657,0.33188178700986387,0.1587784126045057,0.1652637908834819,0.007839583521876234,1.203059820050449,593.4735053117917,1088.541422633004,
0.659,0.33224526258469095,0.1590111857702984,0.1653741015963338,0.007859975218058752,1.2024758667719242,593.3378532536698,1088.6565012735036,
0.661,0.33260900247465824,0.15924408798276712,0.1654845210914629,0.007880393400428228,1.2018920173741723,593.2021127249271,1088.771579914003,
0.663,0.3329730064066129,0.15947711833814274,0.16559504999948546,0.007900838068984744,1.2013082738925043,593.0662830392578,1088.8866585545027,
0.665,0.3333372741034546,0.15971027592356926,0.16570568895615706,0.007921309223728256,1.2007246383790646,592.9303635050177,1089.0017371950023,
0.667,0.33370180528259136,0.15994355981447064,0.16581643860346196,0.007941806864658767,1.2001411129093567,592.7943534238972,1089.116815835502,
0.669,0.3340665637975137,0.16017690838405887,0.16592732442167857,0.007962330991776281,1.199557851224565,592.658221610306,1089.2318944760016,
0.671,0.3344316225669734,0.16041044458723178,0.16603829637466078,0.00798288160508079,1.1989745457546763,592.5220295836095,1089.3469731165012,
0.673,0.33479694393730963,0.16064410425125775,0.16614938098147958,0.008003458704572296,1.198391356705137,592.3857448745449,1089.4620517570008,
0.675,0.3351625276036492,0.16087788640396852,0.16626057890942986,0.008024062290250763,1.1978082862458164,592.2493667577819,1089.5771303975002,
0.677,0.3355283732549351,0.16111179006021015,0.1663718908326087,0.008044692362116267,1.197225336572684,592.1128945006858,1089.6922090379999,
0.679,0.3358944805739284,0.16134581422182998,0.16648331743192968,0.00806534892016877,1.1966425099077498,591.9763273633138,1089.8072876784995,
0.681,0.3362608492394195,0.1615799578814022,0.16659485939360905,0.00808603196440827,1.1960598084897056,591.8396646002835,1089.9223663189991,
0.683,0.3366274789228499,0.161814220016486,0.16670651741152911,0.00810674149483477,1.1954772345881417,591.7029054578895,1090.0374449594988,
0.685,0.3369943692906165,0.16204859959351187,0.16681829218565636,0.008127477511448268,1.1948947904937843,591.5660491760555,1090.1525235999984,
0.687,0.33736152000582637,0.16228309557073584,0.1669301844208418,0.008148240014248766,1.1943124785110897,591.4290949898148,1090.267602240498,
0.6890000000000001,0.3377289307214055,0.16251770688654366,0.16704219483162558,0.00816902900323622,1.1937303009872102,591.2920421234429,1090.3826808809974,
