n,beta,eta,gamma,seed,mse,step,delta,est_beta,est_eta,est_gamma
7,1.0,100.0,1000,11825,0.205223,8,0.878225,,,
7,1.0,100.0,1000,11827,0.004941,0,0.5,0.9916,104.0304,994.9735
7,1.0,100.0,1000,11827,0.004941,1,0.984161,0.9245,100.2459,997.3186
7,1.0,100.0,1000,11827,0.004941,2,0.94417,0.931,100.6278,997.0946
7,1.0,100.0,1000,11827,0.004941,3,0.951491,0.9298,100.5564,997.1368
7,1.0,100.0,1000,11827,0.004941,4,0.950374,0.93,100.5673,997.1303
7,1.0,100.0,1000,11827,0.004941,5,0.950546,,,
7,1.0,100.0,1000,11829,0.025916,0,0.5,0.871,111.3565,1010.4902
7,1.0,100.0,1000,11829,0.025916,1,0.002987,0.9469,115.1773,1007.7464
7,1.0,100.0,1000,11829,0.025916,2,0.009782,0.9469,115.1773,1007.7464
7,1.0,100.0,1000,11829,0.025916,3,0.009782,,,
7,1.0,100.0,1000,11836,0.478846,0,0.5,1.0931,41.0077,1017.0254
7,1.0,100.0,1000,11836,0.478846,1,0.001038,1.456,47.9641,1011.2867
7,1.0,100.0,1000,11836,0.478846,2,0.001774,,,
7,1.0,100.0,1000,11839,0.094135,0,0.5,1.2305,81.3676,1009.4807
7,1.0,100.0,1000,11839,0.094135,1,0.003632,1.2561,83.1172,1008.3452
7,1.0,100.0,1000,11839,0.094135,2,0.005915,1.2561,83.1172,1008.3452
7,1.0,100.0,1000,11839,0.094135,3,0.005915,,,
7,1.0,100.0,1000,11842,0.314271,0,0.5,0.5485,66.1962,1006.2642
7,1.0,100.0,1000,11842,0.314271,1,0.032093,0.5514,66.3915,1006.2224
7,1.0,100.0,1000,11842,0.314271,2,0.032786,,,
7,1.0,100.0,1000,11845,0.11967,0,0.5,0.7794,76.8135,997.5732
7,1.0,100.0,1000,11845,0.11967,1,0.941271,0.7505,75.8665,998.1786
7,1.0,100.0,1000,11845,0.11967,2,0.917579,0.7517,75.9097,998.152
7,1.0,100.0,1000,11845,0.11967,3,0.918527,,,
7,1.0,100.0,1000,11846,0.300705,0,0.5,0.4545,103.7979,999.7402
7,1.0,100.0,1000,11846,0.300705,1,0.902171,0.453,103.8334,999.754
7,1.0,100.0,1000,11846,0.300705,2,0.901868,,,
7,1.0,100.0,1000,11847,0.01181,0,0.5,1.1083,100.8748,1000.2221
7,1.0,100.0,1000,11847,0.01181,1,0.604455,1.1083,100.8748,1000.2221
7,1.0,100.0,1000,11847,0.01181,2,0.604455,,,
7,1.0,1000.0,1000,12719,0.00763,0,0.5,1.0005,905.8157,1031.2741
7,1.0,1000.0,1000,12719,0.00763,1,0.001,1.0619,938.6983,1008.9141
7,1.0,1000.0,1000,12719,0.00763,2,0.006722,1.0611,938.2841,1009.2073
7,1.0,1000.0,1000,12719,0.00763,3,0.005853,,,
7,1.0,1000.0,1000,12722,0.138677,0,0.5,0.7513,755.6087,989.9042
7,1.0,1000.0,1000,12722,0.138677,1,0.999256,0.7285,744.2397,994.8768
7,1.0,1000.0,1000,12722,0.138677,2,0.986663,0.7291,744.533,994.7514
7,1.0,1000.0,1000,12722,0.138677,3,0.987562,,,
7,2.0,100.0,1000,12817,0.083793,0,0.5,1.3661,83.9002,1044.6875
7,2.0,100.0,1000,12817,0.083793,1,0.001,2.3096,124.8197,1009.2009
7,2.0,100.0,1000,12817,0.083793,2,0.002324,2.3044,124.6053,1009.4017
7,2.0,100.0,1000,12817,0.083793,3,0.002186,,,
7,2.0,100.0,1000,12835,0.286873,0,0.5,1.4391,64.1859,991.1647
7,2.0,100.0,1000,12835,0.286873,1,0.997434,1.2986,59.2023,994.9067
7,2.0,100.0,1000,12835,0.286873,2,0.979887,1.3022,59.39,994.7846
