oracle_delta,selected_delta,row_percent
0.38,0.48,3.9603960396039604
0.4,0.48,3.4904013961605584
0.42,0.48,2.5380710659898478
0.44,0.48,3.5580524344569286
0.46,0.48,4.761904761904762
0.48,0.48,3.397027600849257
0.5,0.48,7.3021692636724715
0.0,0.5,0.2663656884875847
0.02,0.5,0.029477655936799903
0.04,0.5,0.07601672367920942
0.06,0.5,0.12272950417280314
0.08,0.5,0.1433349259436216
0.1,0.5,0.23324851569126379
0.12,0.5,0.2692514808831448
0.14,0.5,0.5338672005338673
0.16,0.5,0.25412960609911056
0.18,0.5,0.906344410876133
0.2,0.5,1.05731775180857
0.22,0.5,0.9314703925482368
0.24,0.5,1.6072676450034942
0.26,0.5,1.3333333333333335
0.28,0.5,2.0648967551622417
0.3,0.5,2.4801587301587302
0.32,0.5,3.075030750307503
0.34,0.5,2.882205513784461
0.36,0.5,3.231292517006803
0.38,0.5,3.9603960396039604
0.4,0.5,4.712041884816754
0.42,0.5,5.0761421319796955
0.44,0.5,5.992509363295881
0.46,0.5,7.575757575757576
0.48,0.5,7.43099787685775
0.5,0.5,14.14604338527345
