comparison,seed,test_n,point_estimate_J1,ci_low_J1,ci_high_J1,bootstrap_mean_J1,point_estimate_regret,ci_low_regret,ci_high_regret,bootstrap_mean_regret,representation,train_n
L_minus_S,42,20,0.034692289980952584,0.02184601188269344,0.04667753580763967,0.034505036643421,0.028033624951786996,0.015898194148221974,0.04128038019840749,0.02811063254165786,F12,"7,10"
L_minus_S,42,20,0.14450562225770364,0.09958537277594084,0.18974406585553205,0.1443268125852302,0.1326919538262401,0.08893406443084434,0.17677884470469327,0.13254043485059736,RAW,"7,10"
T_minus_S,42,20,0.0977773946889669,0.06990350873787286,0.12567673663529424,0.09737386133295708,0.0844949034994813,0.054821499556650014,0.11827803706479455,0.08459959040831741,F13,7
T_minus_S,42,20,0.08259558692872143,0.05170368233971258,0.11375268128886326,0.08199216973358359,0.0701215058268077,0.039031585363424416,0.10645017284109674,0.07022565208496037,F13,10
T_minus_S,42,20,0.07473968204955561,0.04781825585556054,0.09982443448752659,0.0742309844310113,0.06338764976786859,0.035876831715556445,0.093778679384749,0.06350290696006368,F12,7
T_minus_S,42,20,0.028235061580150433,0.013698545654649565,0.04140242207443864,0.028028588353247216,0.022633444508015202,0.00981399224848767,0.036568497312014676,0.02274094986945667,F12,10
T_minus_S,42,20,0.1140451797733118,0.07903584397230465,0.15158207657487457,0.1139807415531587,0.1012478562402863,0.06962063414274923,0.1341316897184605,0.10106646895252144,RAW,7
T_minus_S,42,20,0.1042001103719365,0.06690345856344268,0.145483029323168,0.10420496798386122,0.0914816718568628,0.05851521837803344,0.12750865656687907,0.09137902835644447,RAW,10
RAW_minus_F13,2026,7,0.0060732449354352624,-0.0009037297965993284,0.013562833347527262,0.0061257562978546155,0.0077722419286435016,-0.0011752241411112415,0.017078815172241163,0.007799345646091226,,
F12_minus_F13,2026,7,0.009525722636410161,0.0030257301203143907,0.016463089790250407,0.00957940955728187,0.0122234414330274,0.0038124983672725918,0.02133281355467835,0.012306032611624643,,
J_minus_S,2026,7,-0.018120450039297298,-0.02418531399133785,-0.011302109333013868,-0.018094144720003966,-0.023407966773650098,-0.032698582838510515,-0.013951361929322623,-0.02346057157311024,F13,"7,10,20"
J_minus_S,2026,7,0.0006358921806296491,-0.01736344414928734,0.01704936307593432,0.0005178769635246632,0.0008216320992823073,-0.02190329349119778,0.02269166405610886,0.0008331830940698284,F12,"7,10,20"
J_minus_S,2026,7,-0.009332617771204088,-0.016095993839528047,-0.002119781040982777,-0.009311317516566277,-0.012087204951119604,-0.02174701186812775,-0.0026026841614297256,-0.012166822091398436,RAW,"7,10,20"
L_minus_S,2026,7,-0.0130362041830685,-0.024478746487551037,-0.0005279596585760014,-0.01288797650529599,-0.016906425825821803,-0.033481151723556625,-0.0006430382926050783,-0.01691730766718158,F13,"10,20"
L_minus_S,2026,7,-0.006705683928312056,-0.013810203847555932,-0.00034569024220489135,-0.006734784949248306,-0.008615139758352,-0.018093671401528955,-0.0004499961654336112,-0.008691639235498632,F12,"10,20"
L_minus_S,2026,7,0.11537303394737486,0.07509332936302042,0.1594693661811046,0.11515208439501458,0.16381385841162577,0.10400009552575515,0.22866871658350843,0.16361524295994126,RAW,"10,20"
T_minus_S,2026,7,0.027154736533097634,0.004293321198599207,0.05174445094256541,0.02720375705782624,0.03630787857942851,0.005948612130767015,0.06681941741592076,0.03606807890069367,F13,10
T_minus_S,2026,7,0.15529146362496626,0.09467521553262791,0.22009374710112536,0.15462112873530987,0.22753464046343147,0.13603947375031328,0.32696368790788055,0.22664433887984506,F13,20
T_minus_S,2026,7,0.0016406227808666296,-0.01246117548962343,0.01572149264922471,0.0015827843105322374,0.0021214862756734065,-0.016227312170120186,0.020339068593064096,0.002022553280260158,F12,10
T_minus_S,2026,7,0.04017530991675344,0.023864681949065523,0.05771208787916247,0.040071531663218286,0.053498761753078494,0.03167659548511228,0.07601321214525512,0.05328970448420662,F12,20
T_minus_S,2026,7,0.09651019703731634,0.07185453385489937,0.12287287968035483,0.09632175127746592,0.13521076524386638,0.09444022365528593,0.18247455720134687,0.13540858658094052,RAW,10
T_minus_S,2026,7,0.11511816623254412,0.0742714940426504,0.15830047452944324,0.11484277883293287,0.16342264136599,0.09942455351536361,0.23438323864087976,0.16365662081360338,RAW,20
RAW_minus_F13,2026,10,0.006390595410046274,-0.0014426388725415655,0.013598688194239768,0.006446509869757119,0.006860782943368296,-0.001560456332044493,0.014734177962812942,0.006899527148911407,,
F12_minus_F13,2026,10,0.009778740981507883,0.002879401719721521,0.017253469706207458,0.009754854697280746,0.010531342845403094,0.002897174136926083,0.019464353578992843,0.01059643158138112,,
J_minus_S,2026,10,0.006664798799073557,0.0033434398550831164,0.01000291872608948,0.0066676218195305505,0.007068149248614507,0.0034345948010658465,0.010964892940135874,0.007089265775117732,F13,"7,10,20"
J_minus_S,2026,10,0.01194622758113073,0.005027322908630695,0.019189256874181763,0.011891929482208966,0.012839752565803997,0.005048601835347538,0.02186063840459178,0.01288997535432166,F12,"7,10,20"
J_minus_S,2026,10,0.0033164267686945914,-0.006414729238834893,0.013533912692736034,0.003448372841310913,0.0035706278514573975,-0.007308094655484911,0.013762779778462447,0.0035552698689222226,RAW,"7,10,20"
L_minus_S,2026,10,0.016518000875710093,0.010182767418398853,0.02355076096521954,0.01655883386473552,0.017680417623362102,0.010646311309017236,0.025458242820864688,0.01773291848043332,F13,"7,20"
L_minus_S,2026,10,0.009296021222111595,0.0032101054960014088,0.015224249207349822,0.009272826356457566,0.009966686118487701,0.0034146210182998964,0.016700359112569695,0.009962939263070857,F12,"7,20"
