route,n,beta,gamma_over_eta,count,relative_bias,within_cell_variance,cell_mse,identity_residual
Q,7,5.0,0.25,3000,-0.16257365321377196,0.008548269294783589,0.03497846201405537,-5.204170427930421e-18
Q,7,5.0,0.5,3000,-0.10746152432838184,0.010411838620683804,0.021959817831663207,0.0
Q,7,5.0,0.75,3000,-0.0666273817714482,0.005581784289980554,0.010020992291698862,8.673617379884035e-19
Q,7,5.0,1.0,3000,-0.08653941757862534,0.0025427553573915914,0.010031826152239279,-4.336808689942018e-19
Q,10,1.5,0.1,3000,0.29111002823057847,0.1242221911667762,0.20896723970318437,-1.3877787807814457e-17
Q,10,1.5,0.25,3000,-0.0094833469688953,0.05589035421614864,0.05598028808588108,-6.938893903907228e-18
Q,10,1.5,0.5,3000,-0.06727853329824818,0.05821080805903422,0.0627372091017977,-6.938893903907228e-18
Q,10,1.5,0.75,3000,-0.024374497828558862,0.02183778997284169,0.02243190611723611,0.0
Q,10,1.5,1.0,3000,-0.04494126001756771,0.008503133839997176,0.010522850691963804,-1.734723475976807e-18
Q,10,2.0,0.1,3000,0.1384447427808773,0.08333774453282615,0.10250469133648944,1.3877787807814457e-17
Q,10,2.0,0.25,3000,-0.03937369394507861,0.05208422845388329,0.05363451622876401,0.0
Q,10,2.0,0.5,3000,-0.0577410836441195,0.04773208939444057,0.05106612213483778,6.938893903907228e-18
Q,10,2.0,0.75,3000,-0.02009440020482839,0.017725007266513396,0.018128792186105202,0.0
Q,10,2.0,1.0,3000,-0.0310317277902844,0.008011769618740821,0.00897473774839113,0.0
Q,10,2.5,0.1,3000,0.0695862730611919,0.046861191058806394,0.05170344045735315,-6.938893903907228e-18
Q,10,2.5,0.25,3000,-0.052439524893134755,0.043443777646273794,0.046193681417291486,-6.938893903907228e-18
Q,10,2.5,0.5,3000,-0.04115215681392753,0.03227384134661791,0.033967341357055994,0.0
Q,10,2.5,0.75,3000,-0.010892888610425871,0.01358483682463936,0.013703491846918506,0.0
Q,10,2.5,1.0,3000,-0.029386469341519842,0.007136258598604592,0.007999823178964676,-8.673617379884035e-19
Q,10,3.0,0.1,3000,0.0379600201260417,0.03779272258337033,0.03923368571133982,-6.938893903907228e-18
Q,10,3.0,0.25,3000,-0.061348348937278085,0.02770663025050687,0.0314702501678369,0.0
Q,10,3.0,0.5,3000,-0.04045501550338425,0.027706154768409524,0.029342763047788583,0.0
Q,10,3.0,0.75,3000,-0.011606516011126056,0.011592965791151074,0.011727677005067598,-1.734723475976807e-18
Q,10,3.0,1.0,3000,-0.03666698803180043,0.005073142460152895,0.0064176104714770916,8.673617379884035e-19
Q,10,3.5,0.1,3000,0.007330402169967177,0.02005029041940089,0.02010402521537435,0.0
Q,10,3.5,0.25,3000,-0.07410582164637776,0.018495840278898563,0.023987513080783313,0.0
Q,10,3.5,0.5,3000,-0.04827750532471691,0.017298366666694008,0.019629084187072078,0.0
Q,10,3.5,0.75,3000,-0.024268498743317952,0.007091723872743726,0.007680683903998151,8.673617379884035e-19
Q,10,3.5,1.0,3000,-0.04548779346062399,0.004603551780305934,0.006672691134222319,-1.734723475976807e-18
