sample_id,gamma,objective,beta,eta
Sample-1-4,842.6701803607215,5.111958260666481e-12,0.9999240881358968,960.7351438546724
Sample-1-4,843.9354509018036,3.6152150231579688e-09,0.999920910707772,959.4694849844527
Sample-1-4,845.2007214428858,2.856105468503154e-12,0.9999176094653689,958.2038093166774
Sample-1-4,850.2618036072145,6.427431983998741e-10,0.999907659396826,953.1414843216328
Sample-1-4,851.5270741482966,3.484518052591435e-09,0.9999022856795658,951.8755568762169
Sample-1-4,855.322885771543,1.4598809699434127e-09,0.9998865991963326,948.0778133845478
Sample-1-4,859.1186973947896,2.514838071267884e-11,0.999871789858368,944.2801580956019
Sample-1-4,861.6492384769539,4.293824666713763e-09,0.9998620513379968,941.7483955541747
Sample-1-4,862.9145090180361,4.383754480418085e-09,0.9998578930624487,940.4825959984404
Sample-1-4,864.1797795591183,3.8832759338052e-09,0.9998539248442994,939.2168201256883
Sample-1-4,866.7103206412826,3.4401024291160322e-09,0.9998350743804829,936.6839361206979
Sample-1-4,867.9755911823647,4.072466418670977e-09,0.9998266051393463,935.4176051532909
Sample-1-4,870.506132264529,5.154590190553816e-10,0.9998105143747581,932.8850362654833
Sample-1-4,874.3019438877756,3.220388943036591e-10,0.9997823390277557,929.0856651828763
Sample-1-4,876.8324849699399,4.448143306706558e-09,0.9997705369281235,926.5535917166467
Sample-1-4,883.1588376753507,1.4177461730372886e-09,0.9996870407543109,920.2166762970875
Sample-1-4,884.4241082164328,3.376624399981402e-09,0.9996713495347119,918.9493989065451
Sample-1-4,885.689378757515,3.945211628930299e-09,0.9996524195083231,917.6817126541372
Sample-1-4,889.4851903807615,2.960005415146398e-11,0.9995729255360514,913.8757737537958
Sample-1-4,892.0157314629258,1.549120938948087e-11,0.9995760793337128,911.3454593920885
Sample-1-4,893.2810020040081,4.3792601733512806e-11,0.9995777790934043,910.0803181108739
Sample-1-4,894.5462725450902,5.2700517561010685e-12,0.9995794540178066,908.8151741013069
Sample-1-4,895.8115430861724,1.1082545634238244e-11,0.9995811594175575,907.5500342907153
Sample-1-4,897.0768136272545,1.7760986637579274e-11,0.9995828383072749,906.2848915325674
Sample-1-4,898.3420841683367,5.96785246952591e-10,0.9995845283637986,905.0197506334532
