route,n,fold,seed,mean_magnitude,mean_absolute_error,compensation,rmsre
QCP,10,4,17,0.19583745184036203,0.11631492853924456,0.37886109096187603,0.1652636230272567
P,10,4,73,0.18381343098425557,0.11521351670626871,0.33759420202287044,0.1701536534228825
Q,10,4,73,1.4768976023419524,0.12175280419742307,0.909322833109609,0.16801068474762917
QCP,10,4,73,0.18438866054460534,0.11815724509707963,0.3345870833660082,0.16510646057823467
P,10,4,314,0.18000718414544578,0.1158572378436273,0.32205975708481827,0.16902364406367382
Q,10,4,314,1.4778250529838004,0.11968657033760012,0.9117075053151954,0.16801338891465817
QCP,10,4,314,0.1910494358605323,0.11603774597908126,0.3770930007520516,0.16550574659843076
P,10,4,2718,0.18166107383817776,0.11456974258157916,0.34287740805764344,0.17102200541785087
Q,10,4,2718,1.493346081781759,0.11940619262097893,0.9133164738970477,0.16723127845145946
QCP,10,4,2718,0.18693465463273654,0.11879573537290283,0.3411381065496149,0.16619219695217413
P,10,4,4099,0.18316430307179726,0.11512953397401567,0.3382737476602654,0.17087529691221473
Q,10,4,4099,1.5024647662544424,0.11858375936127336,0.9149514282389976,0.1665563029142496
QCP,10,4,4099,0.1898108701191357,0.1160225372675481,0.36162489878757526,0.16428664708586696
P,10,4,8128,0.18253801041362677,0.11353905682540998,0.3523137903864396,0.16892945564696052
Q,10,4,8128,1.499785450931624,0.11898870732668779,0.9152376308210111,0.16828073044582106
QCP,10,4,8128,0.18463459392562137,0.11735666470203214,0.34519746959386743,0.16568526312826062
P,10,4,12011,0.1840326839846628,0.1174577320232811,0.329324324301771,0.1712950240089837
Q,10,4,12011,1.4897963731909343,0.11904976602707809,0.9135997982018472,0.16754974601782655
QCP,10,4,12011,0.18203657236621665,0.11616134223726302,0.335980722218334,0.16572600987672306
P,10,5,42,0.18592920969023827,0.11604165283798065,0.35314381680284973,0.1813999018557759
Q,10,5,42,1.4988758551870425,0.11899267104298707,0.914844612543197,0.1697619574509554
QCP,10,5,42,0.1873183133864334,0.11837208114581457,0.33878855887202014,0.16884458323398063
