beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status,cohort
1.5,1.0,0.1,0.1,7,44,0.6,1.530413505516431,1.1531165943315507,0.08784256614253086,0.9584833321643714,True,37.64490000139631,success,0.5
1.5,1.0,0.1,0.1,7,44,0.62,1.5204132580060157,1.1468361582976416,0.09278790866257738,0.9566083443368353,True,35.77140000015788,success,0.5
1.5,1.0,0.1,0.1,7,44,0.64,1.5108376263306385,1.1407005340530691,0.09757378946043328,0.9546543886173643,True,36.235699999451754,success,0.5
1.5,1.0,0.1,0.1,7,44,0.66,1.5016678159165346,1.1346976892842664,0.10221061403069635,0.9526163392286084,True,37.63219999927969,success,0.5
1.5,1.0,0.1,0.1,7,44,0.68,1.4928769502446244,1.1288185230493564,0.10670813175493683,0.9504900666758863,True,38.78450000047451,success,0.5
1.5,1.0,0.1,0.1,7,44,0.7,1.484458682181248,1.1230499082813536,0.11107550234209479,0.9482678399579629,True,34.48909999860916,success,0.5
1.5,1.0,0.1,0.1,7,44,0.72,1.4763886136533224,1.1173838422082931,0.1153213580737016,0.9459444058648034,True,34.65490000053251,success,0.5
1.5,1.0,0.1,0.1,7,44,0.74,1.4686576762497061,1.111809356428689,0.11945385424297622,0.9435113940183697,True,35.15209999932267,success,0.5
1.5,1.0,0.1,0.1,7,44,0.76,1.4612514354076047,1.10631740768206,0.12348072273453313,0.9409607063715181,True,38.514699999723234,success,0.5
1.5,1.0,0.1,0.1,7,44,0.78,1.4541580486997925,1.1008988702414586,0.12740933013349437,0.9382830142140806,True,44.53250000005937,success,0.5
1.5,1.0,0.1,0.1,7,44,0.8,1.4473667490069593,1.0955448485515198,0.1312467126183971,0.9354678867709839,True,44.935899999472895,success,0.5
1.5,1.0,0.1,0.1,7,44,0.82,1.4408664837420782,1.0902469202924865,0.13499962872850366,0.9325039314260467,True,36.27349999987928,success,0.5
1.5,1.0,0.1,0.1,7,44,0.84,1.4346529320291181,1.0849953773212437,0.13867460010346733,0.9293769448324857,True,36.88230000079784,success,0.5
1.5,1.0,0.1,0.1,7,44,0.86,1.4287139776512106,1.079782640169761,0.1422779677969364,0.9260730724407424,True,37.176599998929305,success,0.5
1.5,1.0,0.1,0.1,7,44,0.88,1.4230444500973447,1.074599661460584,0.1458159173577485,0.9225750861593601,True,37.00399999979709,success,0.5
1.5,1.0,0.1,0.1,7,44,0.9,1.417638722245997,1.0694375958214477,0.1492945478545528,0.9188637455441104,True,37.84520000044722,success,0.5
1.5,1.0,0.1,0.1,7,44,0.92,1.41249221310236,1.0642873705384501,0.15271991302190008,0.9149170331599364,True,40.55359999983921,success,0.5
1.5,1.0,0.1,0.1,7,44,0.94,1.4076014277969255,1.0591395776150478,0.15609807983928364,0.9107096181543275,True,36.95080000034068,success,0.5
1.5,1.0,0.1,0.1,7,44,0.96,1.4029640223364293,1.0539843515203302,0.15943519194654848,0.9062121878133645,True,39.168499999505,success,0.5
1.5,1.0,0.1,0.1,7,44,0.98,1.398578895787173,1.048811223322142,0.1627375428198271,0.9013906026371841,True,35.73400000095717,success,0.5
1.5,1.0,0.1,0.1,7,44,1.0,1.3944463182441913,1.0436089448807466,0.16601166137118803,0.8962048180297446,True,36.642199998823344,success,0.5
1.5,1.0,0.1,0.1,7,48,0.52,1.518002799751101,1.1159748187297163,0.05688988063142795,0.934456739864754,True,34.58949999912875,success,0.5
1.5,1.0,0.1,0.1,7,48,0.54,1.5069742096157266,1.1097653003159518,0.061886135621844474,0.9324348951591214,True,38.015899999663816,success,0.5
1.5,1.0,0.1,0.1,7,48,0.56,1.4965344373468696,1.1037509253072277,0.0666730941559075,0.9303409170212336,True,37.517599999773665,success,0.5
1.5,1.0,0.1,0.1,7,48,0.58,1.4866372299882817,1.0979135331940573,0.07126863427350869,0.9281703759344221,True,35.627799999929266,success,0.5
1.5,1.0,0.1,0.1,7,48,0.6,1.4772495782738686,1.09223473984572,0.07568881730060394,0.9259169291601784,True,36.027000000103726,success,0.5
1.5,1.0,0.1,0.1,7,48,0.62,1.468340647811071,1.0866981321426585,0.07994814600916238,0.9235739006791077,True,34.50650000013411,success,0.5
