beta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5,0.1,37,2.280411,2302.903052,0.000000,0.780411,1302.903052,-1000.000000,0.716552
1.5,5,0.1,38,3.001364,2012.340789,0.000000,1.501364,1012.340789,-1000.000000,0.504101
1.5,5,0.1,39,1.091870,449.017101,1934.175133,-0.408130,-550.982899,934.175133,0.964155
1.5,5,0.1,40,1.865983,1254.041429,1190.520883,0.365983,254.041429,190.520883,0.932777
1.5,5,0.1,41,1.534705,726.914805,1173.211117,0.034705,-273.085195,173.211117,0.930171
1.5,5,0.1,42,1.468541,1200.659956,848.044643,-0.031459,200.659956,-151.955357,0.994388
1.5,5,0.1,43,2.395928,1525.384424,470.292412,0.895928,525.384424,-529.707588,0.968203
1.5,5,0.1,44,3.422005,1949.086468,0.000000,1.922005,949.086468,-1000.000000,0.555934
1.5,5,0.1,45,3.423350,1425.261983,351.846547,1.923350,425.261983,-648.153453,0.758723
1.5,5,0.1,46,1.040389,394.048692,1468.755384,-0.459611,-605.951308,468.755384,0.982646
1.5,5,0.1,47,1.235388,1128.809194,966.291645,-0.264612,128.809194,-33.708355,0.957385
1.5,5,0.1,48,4.452208,1793.427397,0.000000,2.952208,793.427397,-1000.000000,0.705543
1.5,5,0.1,49,3.158986,2009.376704,313.763131,1.658986,1009.376704,-686.236869,0.792782
1.5,5,0.1,50,1.066714,247.726280,1339.394861,-0.433286,-752.273720,339.394861,0.935395
1.5,5,0.1,51,2.941002,2277.325544,0.000000,1.441002,1277.325544,-1000.000000,0.465255
1.5,5,0.1,52,2.154612,1222.464685,661.548236,0.654612,222.464685,-338.451764,0.960443
1.5,5,0.1,53,0.598043,465.257657,1141.922980,-0.901957,-534.742343,141.922980,0.981093
1.5,5,0.1,54,1.586657,483.659264,1108.192551,0.086657,-516.340736,108.192551,0.958271
1.5,5,0.1,55,0.863307,560.597472,1627.785023,-0.636693,-439.402528,627.785023,0.962556
1.5,5,0.1,56,1.476618,1004.426581,981.876731,-0.023382,4.426581,-18.123269,0.991439
1.5,5,0.1,57,0.880116,530.375645,1523.480857,-0.619884,-469.624355,523.480857,0.924553
1.5,5,0.1,58,1.189035,562.013412,1052.388358,-0.310965,-437.986588,52.388358,0.984653
1.5,5,0.1,59,2.096351,1153.236543,725.808944,0.596351,153.236543,-274.191056,0.798080
1.5,5,0.1,60,1.648701,829.016797,749.076927,0.148701,-170.983203,-250.923073,0.836871
1.5,5,0.1,61,1.435169,638.033631,1019.180051,-0.064831,-361.966369,19.180051,0.949184
1.5,5,0.1,62,1.170959,470.762944,1067.825444,-0.329041,-529.237056,67.825444,0.977525
1.5,5,0.1,63,1.063738,860.113509,1222.175250,-0.436262,-139.886491,222.175250,0.932065
1.5,5,0.1,64,1.171318,1319.422736,1047.069157,-0.328682,319.422736,47.069157,0.967941
1.5,5,0.1,65,1.784438,704.528265,1058.495339,0.284438,-295.471735,58.495339,0.948011
1.5,5,0.1,66,3.851342,2049.009225,0.000000,2.351342,1049.009225,-1000.000000,0.599164
1.5,5,0.1,67,2.021014,709.300705,1575.901897,0.521014,-290.699295,575.901897,0.820906
1.5,5,0.1,68,2.308811,2344.432477,190.708825,0.808811,1344.432477,-809.291175,0.968601
1.5,5,0.1,69,1.295302,1042.663701,800.465208,-0.204698,42.663701,-199.534792,0.976832
1.5,5,0.1,70,1.284733,566.787352,1566.416976,-0.215267,-433.212648,566.416976,0.963067
1.5,5,0.1,71,1.177614,625.261847,1061.913237,-0.322386,-374.738153,61.913237,0.931047
1.5,5,0.1,72,0.957310,416.026745,1173.274110,-0.542690,-583.973255,173.274110,0.998927
1.5,5,0.1,73,3.401048,2074.560257,0.000000,1.901048,1074.560257,-1000.000000,0.604245
1.5,5,0.1,74,4.016866,1968.847598,0.000000,2.516866,968.847598,-1000.000000,0.509850
1.5,5,0.1,75,1.311842,1291.027820,887.427234,-0.188158,291.027820,-112.572766,0.908773
1.5,5,0.1,76,1.654286,1645.733708,565.240861,0.154286,645.733708,-434.759139,0.989371
1.5,5,0.1,77,1.428045,899.334177,1427.043368,-0.071955,-100.665823,427.043368,0.964274
