beta,n,gamma_eta,delta,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma,n_valid
1.5,7,1.0,0.18,-0.05928984799999992,0.5803039288102522,-0.039899032,0.39517050755551375,0.053303306000000106,0.252798818250771,500
1.5,7,1.0,0.2,-0.08423648399999983,0.557715707061165,-0.05109941800000006,0.3853026999061507,0.06317850399999991,0.24490587017784837,500
1.5,7,1.0,0.22,-0.10618539999999999,0.5386954707580365,-0.06111915000000001,0.37667737938114415,0.07192690199999996,0.23823495667502764,500
1.5,7,1.0,0.24,-0.11800167599999978,0.5549024734145941,-0.07238524400000002,0.3656887599584329,0.0813631319999999,0.2310389900364367,500
1.5,7,1.0,0.26,-0.13084974000000016,0.5619207178329307,-0.08226397200000002,0.3562596775680135,0.08968405199999996,0.22535230428480255,500
1.5,7,1.0,0.28,-0.14641733999999995,0.552087305293074,-0.08955596199999993,0.3506519831699324,0.09587166399999991,0.22137435088876478,500
1.5,7,1.0,0.3,-0.15523817400000017,0.5621352519182319,-0.0979112339999999,0.3445738107964341,0.10269261600000013,0.2174476362318574,500
1.5,7,1.0,0.32,-0.1665635419999998,0.5606937028200158,-0.10462830000000012,0.33989176345348093,0.10824165399999996,0.2140876570519802,500
1.5,7,1.0,0.34,-0.17509598599999987,0.5655504392746143,-0.11177504599999999,0.3343346597475004,0.11400922600000007,0.21116583711298137,500
1.5,7,1.0,0.36,-0.18593292400000005,0.5608804849238911,-0.11709279599999989,0.33057007025085877,0.11835357800000001,0.20883143325846684,500
1.5,7,1.0,0.38,-0.19594898400000016,0.5568685744451674,-0.12215652200000005,0.3270389590494469,0.1224466019999999,0.2067158658036715,500
1.5,7,1.0,0.4,-0.2039926179999998,0.5567425887813667,-0.12752554800000004,0.3235132309581815,0.126691184,0.20457265705478592,500
1.5,7,1.0,0.42,-0.20567506000000013,0.5693570385667709,-0.1347352959999999,0.31872853250194916,0.13204130999999997,0.20290585902715821,500
1.5,7,1.0,0.44,-0.21039497000000007,0.574890987375032,-0.14000645600000006,0.3163024124747878,0.1360827039999999,0.20130113726461765,500
1.5,7,1.0,0.46,-0.2153510799999998,0.5783707638813038,-0.14482731999999998,0.3136107991696799,0.13973218199999993,0.20064735663272584,500
1.5,7,1.0,0.48,-0.2222762680000001,0.5769341802616382,-0.14858901800000002,0.31106455497856667,0.14262899399999962,0.19928995716462816,500
1.5,7,1.0,0.5,-0.22799044200000007,0.5773847052591965,-0.15266030800000008,0.3082211939891306,0.14569533000000012,0.19810391310685815,500
1.5,10,0.1,0.0,0.06434922399999987,0.538385782627421,-0.011782989999999938,0.30255227823464137,0.030511254000000015,0.16360087337064175,500
1.5,10,0.1,0.02,0.04482846800000018,0.5253911039739967,-0.018662745999999952,0.30127703609148443,0.03650853600000001,0.16304510763732113,500
1.5,10,0.1,0.04,0.02706254600000002,0.5131207088771892,-0.024800264000000016,0.300693237154578,0.04184507600000001,0.16294716422157807,500
1.5,10,0.1,0.06,0.012143051999999877,0.5044167582416342,-0.030031798,0.2998208128105151,0.046365794000000016,0.16297530395093413,500
1.5,10,0.1,0.08,-0.0016025539999999783,0.49506805162094086,-0.034814157999999984,0.298900823853796,0.050503941999999996,0.1629415720955846,500
1.5,10,0.1,0.1,-0.015743072000000025,0.48425799324903457,-0.03972487800000002,0.297778256585738,0.05478035800000003,0.16252807833560565,500
