beta,n,gamma_eta,delta,jparam,n_valid
2.5,7,0.1,0.16,0.6929792906151395,500
2.5,7,0.1,0.18,0.6996866036550626,500
2.5,7,0.1,0.2,0.7063256154859484,500
2.5,7,0.1,0.22,0.714893089091115,500
2.5,7,0.1,0.24,0.7249395789171093,500
2.5,7,0.1,0.26,0.733923915285837,500
2.5,7,0.1,0.28,0.741304760780139,500
2.5,7,0.1,0.3,0.7485014400624657,500
2.5,7,0.1,0.32,0.7544633922116918,500
2.5,7,0.1,0.34,0.7610800701230116,500
2.5,7,0.1,0.36,0.7668642920197389,500
2.5,7,0.1,0.38,0.7732147259922737,500
2.5,7,0.1,0.4,0.7785420639072612,500
2.5,7,0.1,0.42,0.7845315012685589,500
2.5,7,0.1,0.44,0.7891304860270044,500
2.5,7,0.1,0.46,0.7936787667072824,500
2.5,7,0.1,0.48,0.7989257218639695,500
2.5,7,0.1,0.5,0.8034031756165999,500
2.5,7,0.5,0.0,1.0259836595829126,500
2.5,7,0.5,0.02,0.8248840657404484,500
2.5,7,0.5,0.04,0.7371115573993183,500
2.5,7,0.5,0.06,0.695834921107312,500
2.5,7,0.5,0.08,0.6730773635980531,500
2.5,7,0.5,0.1,0.6612695628481403,500
2.5,7,0.5,0.12,0.6556383539920324,500
2.5,7,0.5,0.14,0.6587211293631563,500
2.5,7,0.5,0.16,0.6680580315165662,500
2.5,7,0.5,0.18,0.6737941877921622,500
2.5,7,0.5,0.2,0.6780824308940985,500
2.5,7,0.5,0.22,0.6849986359950333,500
2.5,7,0.5,0.24,0.6927274915491799,500
2.5,7,0.5,0.26,0.701485462707192,500
2.5,7,0.5,0.28,0.7096553114872054,500
2.5,7,0.5,0.3,0.7154876927691748,500
2.5,7,0.5,0.32,0.7219764984776881,500
2.5,7,0.5,0.34,0.729378465639725,500
2.5,7,0.5,0.36,0.7364518862075978,500
2.5,7,0.5,0.38,0.7416971903938872,500
2.5,7,0.5,0.4,0.7481432668133309,500
2.5,7,0.5,0.42,0.7538503578413729,500
2.5,7,0.5,0.44,0.7590458534103148,500
2.5,7,0.5,0.46,0.7629312558356298,500
2.5,7,0.5,0.48,0.7667315338881628,500
2.5,7,0.5,0.5,0.7713032593604396,500
2.5,7,1.0,0.0,1.5141461480193388,500
2.5,7,1.0,0.02,0.9956106747963399,500
2.5,7,1.0,0.04,0.8101444260906531,500
2.5,7,1.0,0.06,0.7176802344520647,500
2.5,7,1.0,0.08,0.6762308043991228,500
2.5,7,1.0,0.1,0.6585225666660947,500
2.5,7,1.0,0.12,0.6520884121408677,500
2.5,7,1.0,0.14,0.6514631775150006,500
2.5,7,1.0,0.16,0.653981169519115,500
2.5,7,1.0,0.18,0.6614729654106651,500
2.5,7,1.0,0.2,0.670871151953535,500
2.5,7,1.0,0.22,0.6821255899639318,500
2.5,7,1.0,0.24,0.6903808294898851,500
2.5,7,1.0,0.26,0.6961253614474884,500
2.5,7,1.0,0.28,0.7031132199406683,500
2.5,7,1.0,0.3,0.7104689720620238,500
2.5,7,1.0,0.32,0.716806523524591,500
2.5,7,1.0,0.34,0.7230622963879315,500
2.5,7,1.0,0.36,0.7304721363902096,500
2.5,7,1.0,0.38,0.7365526237199224,500
2.5,7,1.0,0.4,0.7423050520286849,500
2.5,7,1.0,0.42,0.7471390655755712,500
2.5,7,1.0,0.44,0.7521951501023187,500
2.5,7,1.0,0.46,0.7561565887118458,500
2.5,7,1.0,0.48,0.7608515746669666,500
2.5,7,1.0,0.5,0.7648584383765433,500
2.5,10,0.1,0.0,0.5100900445521922,500
2.5,10,0.1,0.02,0.49909464702228373,500
2.5,10,0.1,0.04,0.49984935840442846,500
2.5,10,0.1,0.06,0.5019938484478089,500
2.5,10,0.1,0.08,0.5056386657382509,500
2.5,10,0.1,0.1,0.5094666824941335,500
2.5,10,0.1,0.12,0.5140091973685479,500
2.5,10,0.1,0.14,0.5188755906495057,500
2.5,10,0.1,0.16,0.5241908705801405,500
2.5,10,0.1,0.18,0.5296594939944029,500
