beta,gamma_eta_ratio,eta,gamma,n,repeat_id,primary_class,high_has_root,low_geom_has_root,low_uniform_has_root,grid_gradient_has_root,min_abs_g_minus_offset,g_min,g_max,boundary_fraction,multipeak_fraction,beta_unstable,gradient_noise_suspect
1.5,0.2,1000.0,200.0,10,0,all_above_offset,False,False,False,False,0.2084375259888341,0.3084375259888341,1.3159690962097061,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,1,strict_root,True,True,True,True,0.04922457123341971,-0.6145046486144624,6.147469317116982,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,2,strict_root,True,True,True,True,0.10260749955664922,-1.0001949710941744,10.093922114554735,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,3,all_above_offset,False,False,False,False,0.19385807061049273,0.29385807061049274,1.0047671789155594,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,4,strict_root,True,True,True,True,0.0026184863886167947,-0.07419276827507972,2.0925450581989358,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,5,strict_root,True,True,True,True,0.006452976914627637,-0.07693387964776742,1.7635376555659246,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,6,strict_root,True,True,True,True,0.02321629847728786,-0.08446393352467269,2.3254900351499974,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,7,strict_root,True,True,True,True,0.07919005696838322,-0.30338388316380116,4.579344979460346,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,8,strict_root,True,True,True,True,0.018522339180915892,-0.4163500052882639,2.581838662152441,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,9,strict_root,True,True,True,True,0.05782857849378139,-0.5171088518363488,2.8514370088609544,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,10,all_above_offset,False,False,False,False,0.15966848348058418,0.2596684834805842,1.529380814111976,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,11,all_above_offset,False,False,False,False,0.05925585312303491,0.15925585312303492,1.0097769473506701,0.0,0.0,False,False
